Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
BOOT1,SW_SPST_EVQP2,1,SW_BOOT,
"C1, C2",0805,2,1u,
"C10, C13, C5",0805,3,10u,
"C11, C12, C3, C6, C7, C8",0805,6,100n,
"C4, C9",0805,2,4u7,
"D1, D2, D3",0805,3,LED,
IC1,MCP1703T5002EMB,1,MCP1702T-5002E_MB,
IC2,SOP50P490X110-10N,1,ADS1015IDGSR,
IC4,SN74LVC125APWR,1,SN74LVC125APWR,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J10,PinHeader_1x18_P2.54mm_Horizontal,1,Conn_01x18,
J2,21992303,1,2199230-3,
"J3, J4",KHBNC503511,2,KH-BNC50-3511,
J5,PinHeader_1x16_P2.54mm_Vertical,1,Conn_01x16,
J6,TFPUSH,1,TF_PUSH,
J7,PinHeader_2x07_P1.27mm_Vertical,1,Conn_ST_STDC14,
J8,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
L1,0805,1,2u2,
LED1,WS2812C2020,1,WS2812C-2020,
"R1, R13, R14, R7",0805,4,10k,
"R10, R11, R12, R16, R17, R9",0805,6,3k3,
"R19, R2, R20, R21, R3",0805,5,5k1,
R5,0805,1,450k,
R6,0805,1,100k,
R8,0805,1,220,
RST1,SW_SPST_EVQP2,1,SW_RST,
RV1,Potentiometer_Bourns_3296W_Vertical,1,10k,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,SOT-23-5,1,TLV62568DBV,
U3,SOT-23-6,1,MCP4725A0T-E/CH,
